#Pressure Temp
9.999999999999999547e-07 3.629289859614522697e+02
1.456348477501244368e-06 3.377540409009475297e+02
2.120950887920192385e-06 3.260181374153611387e+02
3.088843596477478545e-06 3.266678975184404408e+02
4.498432668969443943e-06 3.386499432239328371e+02
6.551285568595509496e-06 3.609108965455856719e+02
9.540954763499943534e-06 3.923973794971461189e+02
1.389495494373136094e-05 4.320560140923614085e+02
2.023589647725155557e-05 4.788334223449791693e+02
2.947051702551809911e-05 5.316762262687464045e+02
4.291934260128778017e-05 5.895310478774107423e+02
6.250551925273976277e-05 6.513444911038317287e+02
9.102981779915227567e-05 7.160578310485199154e+02
1.325711365590108188e-04 7.825996182758217401e+02
1.930697728883249591e-04 8.498965442817409439e+02
2.811768697974227865e-04 9.168753005622801311e+02
4.094915062380423171e-04 9.824625786134429291e+02
5.963623316594642357e-04 1.045588745579441138e+03
8.685113737513520038e-04 1.105214722816390349e+03
1.264855216855295715e-03 1.160316574629444858e+03
1.842069969326714379e-03 1.209870473914609192e+03
2.682695795279724585e-03 1.252852593567890153e+03
3.906939937054612622e-03 1.288254705241356760e+03
5.689866029018292998e-03 1.315891095719953910e+03
8.286427728546841634e-03 1.336789692756841987e+03
1.206792640639328847e-02 1.352075978054154120e+03
1.757510624854789413e-02 1.362875433314023439e+03
2.559547922699533309e-02 1.370313540238582164e+03
3.727593720314938130e-02 1.375541151334174401e+03
5.428675439323859403e-02 1.379830747037743095e+03
7.906043210907685859e-02 1.384491212280245463e+03
1.151395399326445718e-01 1.390831438672109243e+03
1.676832936811006591e-01 1.400160317823761034e+03
2.442053094548649883e-01 1.413777282479916948e+03
3.556480306223128718e-01 1.432790114908830901e+03
5.179474679231201861e-01 1.458128320408180343e+03
7.543120063354606941e-01 1.490754043655992746e+03
1.098541141987557257e+00 1.531947304943354993e+03
1.599858719606057411e+00 1.583141689732206942e+03
2.329951810515367150e+00 1.645726702411467159e+03
3.393221771895322814e+00 1.720921258282239023e+03
4.941713361323827769e+00 1.809902499946242642e+03
7.196856730011513825e+00 1.913696558413694447e+03
1.048113134154685255e+01 2.033047204720264972e+03
1.526417967175230217e+01 2.168661697929731417e+03
2.222996482526190931e+01 2.321125123013033317e+03
3.237457542817639933e+01 2.490903300868353199e+03
4.714866363457390008e+01 2.678457089180761159e+03
6.866488450042997727e+01 2.884247345635324109e+03
1.000000000000000000e+02 3.108734927917111236e+03
