# Wlen(nm) Flux Flux_err
1.921308991845370429e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921315507624252405e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921322175096224555e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921328757169449773e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921335357765973640e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921342006276039456e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921348539819462985e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921355254943921636e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921361756250193139e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921368468178791090e+03 0.000000000000000000e+00 1.650068732693850393e-04
1.921375004296469569e+03 5.549825021097021249e-03 1.650068732693850393e-04
1.921381648742154312e+03 4.916343577759595476e-03 1.650068732693850393e-04
1.921388251903796117e+03 4.249952655392023187e-03 1.650068732693850393e-04
1.921394828688800999e+03 4.305332831390740363e-03 1.650068732693850393e-04
1.921401499072072056e+03 4.847424629277198409e-03 1.650068732693850393e-04
1.921408008018598593e+03 5.945385675947557555e-03 1.650068732693850393e-04
1.921414745801198251e+03 5.949642347329850423e-03 1.650068732693850393e-04
1.921421246301795009e+03 6.786326117785151935e-03 1.650068732693850393e-04
1.921427932519718297e+03 6.190649872118368299e-03 1.650068732693850393e-04
1.921434492408678580e+03 6.423295199458967444e-03 1.650068732693850393e-04
1.921441110357947764e+03 6.591714536735790615e-03 1.650068732693850393e-04
1.921447738076169571e+03 6.333773806578328440e-03 1.650068732693850393e-04
1.921454287578870208e+03 7.038359752351607337e-03 1.650068732693850393e-04
1.921460983304167939e+03 7.644124225677890842e-03 1.650068732693850393e-04
1.921467483181369062e+03 6.450651673901497928e-03 1.650068732693850393e-04
1.921474209093247055e+03 6.237514484212439668e-03 1.650068732693850393e-04
1.921480727786630723e+03 6.548442036034217081e-03 1.650068732693850393e-04
1.921487384821483829e+03 6.559536236892305611e-03 1.650068732693850393e-04
1.921493971952156926e+03 6.075375273083188053e-03 1.650068732693850393e-04
1.921500559931955650e+03 4.521114452895083104e-03 1.650068732693850393e-04
1.921507215677847171e+03 4.701012879241809640e-03 1.650068732693850393e-04
1.921513734424529048e+03 4.855091085021770621e-03 1.650068732693850393e-04
1.921520458963602550e+03 5.380828754888042527e-03 1.650068732693850393e-04
1.921526958033591654e+03 5.705790585102514696e-03 1.650068732693850393e-04
1.921533652073986104e+03 5.240966426552455364e-03 1.650068732693850393e-04
1.921540200695972317e+03 4.280169196942867731e-03 1.650068732693850393e-04
1.921546825072430238e+03 4.398690419555111378e-03 1.650068732693850393e-04
1.921553442918173459e+03 5.685408934135453320e-03 1.650068732693850393e-04
1.921559997452517791e+03 3.997022437473144764e-03 1.650068732693850393e-04
1.921566684700096630e+03 2.652117292184993490e-03 1.650068732693850393e-04
1.921573183145498660e+03 3.028610428416503384e-03 1.650068732693850393e-04
1.921579912110028090e+03 4.250019611438174243e-03 1.650068732693850393e-04
1.921586424303551439e+03 3.417548779575371991e-03 1.650068732693850393e-04
1.921593082994865426e+03 3.593582621161832153e-03 1.650068732693850393e-04
1.921599665021082274e+03 4.346233790902314688e-03 1.650068732693850393e-04
1.921606253260887343e+03 4.105788095029558847e-03 1.650068732693850393e-04
1.921612905297990437e+03 4.153783474908170383e-03 1.650068732693850393e-04
1.921619422907959915e+03 3.297015324152867671e-03 1.650068732693850393e-04
1.921626145134176795e+03 2.029428431127540140e-03 1.650068732693850393e-04
1.921632642770827943e+03 1.346491446894134986e-03 1.650068732693850393e-04
1.921639333693829258e+03 4.447145795223117828e-04 1.650068732693850393e-04
1.921645881982504079e+03 5.181528590252027725e-04 1.650068732693850393e-04
