# Wlen(nm) Transmission Continuum
1.921308991845370429e+03 1.935434426509234362e-01 5.468316451883750151e-01
1.921315507624252405e+03 2.008822593720612504e-01 5.469236688973339033e-01
1.921322175096224555e+03 2.106170199249077779e-01 5.470175948535133115e-01
1.921328757169449773e+03 2.213471422693467361e-01 5.471100797470302979e-01
1.921335357765973640e+03 2.322747143056983488e-01 5.472025876414204903e-01
1.921342006276039456e+03 2.430272767630937969e-01 5.472955270819459539e-01
1.921348539819462985e+03 2.534586592570727270e-01 5.473866250076994122e-01
1.921355254943921636e+03 2.635589743028908249e-01 5.474800128431421831e-01
1.921361756250193139e+03 2.733195851004636689e-01 5.475701936917612977e-01
1.921368468178791090e+03 2.827296273675666827e-01 5.476630554551606966e-01
1.921375004296469569e+03 2.918269436141401330e-01 5.477532500616629774e-01
1.921381648742154312e+03 3.007065506965612700e-01 5.478447023324867216e-01
1.921388251903796117e+03 3.094656254433652554e-01 5.479353496864125539e-01
1.921394828688800999e+03 3.181021918073532184e-01 5.480254006273010958e-01
1.921401499072072056e+03 3.265224467851745582e-01 5.481164945058766280e-01
1.921408008018598593e+03 3.346157336355287670e-01 5.482051522883133465e-01
1.921414745801198251e+03 3.422959313313876928e-01 5.482966864596013901e-01
1.921421246301795009e+03 3.495383002427197017e-01 5.483847653837143898e-01
1.921427932519718297e+03 3.563507376371658486e-01 5.484751235145944870e-01
1.921434492408678580e+03 3.627379465375986656e-01 5.485635409039988364e-01
1.921441110357947764e+03 3.686809322254075427e-01 5.486525067144379930e-01
1.921447738076169571e+03 3.741541543287996152e-01 5.487413683833737288e-01
1.921454287578870208e+03 3.791190858103917205e-01 5.488289501121739189e-01
1.921460983304167939e+03 3.835175774697406892e-01 5.489182497601889921e-01
1.921467483181369062e+03 3.872768407035892535e-01 5.490047080411860625e-01
1.921474209093247055e+03 3.902974821122682236e-01 5.490939352659269801e-01
1.921480727786630723e+03 3.924509554023447033e-01 5.491801830486399139e-01
1.921487384821483829e+03 3.935682099832006897e-01 5.492680273273642388e-01
1.921493971952156926e+03 3.934352091617512870e-01 5.493547167754618821e-01
1.921500559931955650e+03 3.917676898403408270e-01 5.494411864126415024e-01
1.921507215677847171e+03 3.881753227941128204e-01 5.495283111588223912e-01
1.921513734424529048e+03 3.821188584491366225e-01 5.496134144666494636e-01
1.921520458963602550e+03 3.728854547236769568e-01 5.497009681355577992e-01
1.921526958033591654e+03 3.595524089100423648e-01 5.497853583855647486e-01
1.921533652073986104e+03 3.410708338623589242e-01 5.498720464552956377e-01
1.921540200695972317e+03 3.164865590775665094e-01 5.499566219332694406e-01
1.921546825072430238e+03 2.855401114809102414e-01 5.500419451589655395e-01
1.921553442918173459e+03 2.496523275196821934e-01 5.501269528925160079e-01
1.921559997452517791e+03 2.128728972769849126e-01 5.502109196498891075e-01
1.921566684700096630e+03 1.820345001746651592e-01 5.502963531989651935e-01
1.921573183145498660e+03 1.647823493142147877e-01 5.503791491313001494e-01
1.921579912110028090e+03 1.651662345223792183e-01 5.504646480183267299e-01
1.921586424303551439e+03 1.804623825545011162e-01 5.505471660591814143e-01
1.921593082994865426e+03 2.026280479395429768e-01 5.506313102512686575e-01
1.921599665021082274e+03 2.225766662173394583e-01 5.507142571495344807e-01
1.921606253260887343e+03 2.330871412073027005e-01 5.507970550842057333e-01
1.921612905297990437e+03 2.295172978430467803e-01 5.508804243368065068e-01
1.921619422907959915e+03 2.096638265455405825e-01 5.509618844582259145e-01
1.921626145134176795e+03 1.742053514897921040e-01 5.510456695551202433e-01
1.921632642770827943e+03 1.279243529658964373e-01 5.511264313068047205e-01
1.921639333693829258e+03 8.076011552247575054e-02 5.512093655204726161e-01
1.921645881982504079e+03 4.440772969978858814e-02 5.512903060693159496e-01
1.921652501844205744e+03 2.557827955079039831e-02 5.513719045805496322e-01
1.921659120753214893e+03 2.304763957820187351e-02 5.514532636743886274e-01
1.921665669375174502e+03 2.989219737585343747e-02 5.515335349870259529e-01
1.921672359082859884e+03 3.684481638289767436e-02 5.516153060549446874e-01
1.921678856093729792e+03 3.673218971401467914e-02 5.516944997808660434e-01
1.921685577163883636e+03 2.887056322637337677e-02 5.517761947282265877e-01
1.921692093798369115e+03 1.799326586560322586e-02 5.518551817424617312e-01
1.921698743197034673e+03 9.067015902654107160e-03 5.519355518805719729e-01
1.921705331061697734e+03 4.290131450160420204e-03 5.520149532881334364e-01
1.921711908610316868e+03 4.052982791017159872e-03 5.520940071788181802e-01
