# Wlen(nm) Flux Flux_err
1.921347165113983692e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921353853425548778e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921360430060572753e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921367056564595714e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921373694543111924e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921380259003728497e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921386958524198917e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921393466387852868e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921400216358550551e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921406729657530150e+03 0.000000000000000000e+00 1.016025017918240964e-04
1.921413417104147356e+03 -1.490474034154340584e-04 1.016025017918240964e-04
1.921419992425497867e+03 -5.035513388819705985e-05 1.016025017918240964e-04
1.921426617149345248e+03 2.265323813148040785e-04 1.016025017918240964e-04
1.921433254691650745e+03 5.364623549306320053e-04 1.016025017918240964e-04
1.921439816494003253e+03 1.288143470100093892e-03 1.016025017918240964e-04
1.921446516455883739e+03 3.950827497851636398e-04 1.016025017918240964e-04
1.921453023394816910e+03 6.701469991435754286e-04 1.016025017918240964e-04
1.921459769461058841e+03 7.659715972099966812e-04 1.016025017918240964e-04
1.921466284446960117e+03 2.046374148266433583e-04 1.016025017918240964e-04
1.921472967110648369e+03 5.783811452532625335e-04 1.016025017918240964e-04
1.921479544996925370e+03 9.107714861773475107e-04 1.016025017918240964e-04
1.921486164059211660e+03 1.002671150233003239e-03 1.016025017918240964e-04
1.921492805044606712e+03 -1.638537791484785016e-04 1.016025017918240964e-04
1.921499360306608878e+03 -1.831369832142381107e-04 1.016025017918240964e-04
1.921506064589898415e+03 3.978360129475190239e-04 1.016025017918240964e-04
1.921512570603177664e+03 1.576162875800281565e-03 1.016025017918240964e-04
1.921519308881865527e+03 8.325371655666182239e-06 1.016025017918240964e-04
1.921525829435700416e+03 1.280714241430334942e-04 1.016025017918240964e-04
1.921532503432659496e+03 -4.972379253945345299e-04 1.016025017918240964e-04
1.921539087765575459e+03 2.322864747733899597e-04 1.016025017918240964e-04
1.921545697281800813e+03 -9.334031774066195810e-05 1.016025017918240964e-04
1.921552345592696838e+03 3.621613047210317776e-04 1.016025017918240964e-04
1.921558890429148278e+03 8.464605867633876032e-05 1.016025017918240964e-04
1.921565602916958824e+03 -5.098714881766544397e-04 1.016025017918240964e-04
1.921572108003650328e+03 6.113320751390268577e-04 1.016025017918240964e-04
1.921578834608569423e+03 -7.046994455170799707e-04 1.016025017918240964e-04
1.921585364614463288e+03 4.144908355667993556e-05 1.016025017918240964e-04
1.921592026057777957e+03 -3.482010012309941162e-04 1.016025017918240964e-04
1.921598620722158557e+03 3.517978774245874066e-04 1.016025017918240964e-04
1.921605216804705833e+03 7.503188385796672214e-04 1.016025017918240964e-04
1.921611876326629954e+03 3.639390791803077366e-04 1.016025017918240964e-04
