# Wlen(nm) Transmission Continuum
1.921347165113983692e+03 9.716031625638846299e-06 8.045588433656813976e-02
1.921353853425548778e+03 1.216792814514043290e-05 8.102669385005277503e-02
1.921360430060572753e+03 1.566599155359728928e-05 8.158674709000113268e-02
1.921367056564595714e+03 2.034851046385502938e-05 8.214981935413878666e-02
1.921373694543111924e+03 2.629930102294351384e-05 8.271263221133297316e-02
1.921380259003728497e+03 3.361988112188278387e-05 8.326799779417312641e-02
1.921386958524198917e+03 4.243255090717141999e-05 8.383354616205028476e-02
1.921393466387852868e+03 5.284727119416613366e-05 8.438171388380742710e-02
1.921400216358550551e+03 6.496828259884470779e-05 8.494902466378202732e-02
1.921406729657530150e+03 7.887302084315619597e-05 8.549523847621023909e-02
1.921413417104147356e+03 9.459382879227028055e-05 8.605482572420651566e-02
1.921419992425497867e+03 1.120980114305299266e-04 8.660381589331056507e-02
1.921426617149345248e+03 1.312945205272029992e-04 8.715571384945687561e-02
1.921433254691650745e+03 1.519948203995312907e-04 8.770745577656847980e-02
1.921439816494003253e+03 1.738704695357588662e-04 8.825169876542833525e-02
1.921446516455883739e+03 1.964488607285558395e-04 8.880616776547699265e-02
1.921453023394816910e+03 2.190963994176856164e-04 8.934347125126858302e-02
1.921459769461058841e+03 2.409965418611774229e-04 8.989928196991438247e-02
1.921466284446960117e+03 2.611330540959896050e-04 9.043485825746976070e-02
1.921472967110648369e+03 2.783470386330812955e-04 9.098299939459002228e-02
1.921479544996925370e+03 2.913166010172749164e-04 9.152134134348961780e-02
1.921486164059211660e+03 2.986311748639959443e-04 9.206184769714924332e-02
1.921492805044606712e+03 2.988998430036872412e-04 9.260293014213387408e-02
1.921499360306608878e+03 2.909767327258348953e-04 9.313583659160581951e-02
1.921506064589898415e+03 2.741859338403214550e-04 9.367963428425839234e-02
1.921512570603177664e+03 2.487052835609321658e-04 9.420616823500398140e-02
1.921519308881865527e+03 2.157800242310830934e-04 9.475027365992186312e-02
1.921525829435700416e+03 1.778180820239384200e-04 9.527561171442919252e-02
1.921532503432659496e+03 1.381347271123719016e-04 9.581210481909005483e-02
1.921539087765575459e+03 1.003895608745343206e-04 9.634019449037210803e-02
