# wavelength(nm) flux
1.921313731436863463e+03 1.069399193056843167e+00
1.921320335618461741e+03 1.069404207294538223e+00
1.921326939679571751e+03 1.069392065255668545e+00
1.921333543620190312e+03 1.069389105233607085e+00
1.921340147440312649e+03 1.069419956475567979e+00
1.921346751139934668e+03 1.069476596552300540e+00
1.921353354719052732e+03 1.069495196417244998e+00
1.921359958177662293e+03 1.069375952447195743e+00
1.921366561515759258e+03 1.069047792582577872e+00
1.921373164733339763e+03 1.068626806917634342e+00
1.921379767830399260e+03 1.068307010730070283e+00
1.921386370806934110e+03 1.068254392599480740e+00
1.921392973662939994e+03 1.068513781158297649e+00
1.921399576398412592e+03 1.069006049148647275e+00
1.921406179013348037e+03 1.069586709016360659e+00
1.921412781507742011e+03 1.070093433732684174e+00
1.921419383881590647e+03 1.070392943949351583e+00
1.921425986134889627e+03 1.070448680808116615e+00
1.921432588267634856e+03 1.070313718421064930e+00
1.921439190279822697e+03 1.070105752496743889e+00
1.921445792171448147e+03 1.069931159051014768e+00
1.921452393942507570e+03 1.069825113294001095e+00
1.921458995592996871e+03 1.069754893593990897e+00
1.921465597122911731e+03 1.069663964624532060e+00
1.921472198532248512e+03 1.069523285187931716e+00
1.921478799821002440e+03 1.069324044512572902e+00
1.921485400989169875e+03 1.069067556442374167e+00
1.921492002036746499e+03 1.068764424391254408e+00
1.921498602963728217e+03 1.068417373534280790e+00
1.921505203770110938e+03 1.067986813709570271e+00
1.921511804455890569e+03 1.067362560798285731e+00
1.921518405021063018e+03 1.066434125454216897e+00
1.921525005465623963e+03 1.065189132711138242e+00
1.921531605789569539e+03 1.063708092770402125e+00
1.921538205992895428e+03 1.062145170463432597e+00
1.921544806075597535e+03 1.060672797975716231e+00
1.921551406037671995e+03 1.059436573728465447e+00
1.921558005879114489e+03 1.058524646117475099e+00
1.921564605599920696e+03 1.057945677132186013e+00
1.921571205200086979e+03 1.057525481939517675e+00
1.921577804679609017e+03 1.057086783645351691e+00
1.921584404038482717e+03 1.056492074006613269e+00
1.921591003276703532e+03 1.055657132265195974e+00
1.921597602394268051e+03 1.054521866001006281e+00
1.921604201391171500e+03 1.053058993143012767e+00
1.921610800267410241e+03 1.051331690794134355e+00
1.921617399022979953e+03 1.049567353042255791e+00
1.921623997657876544e+03 1.048008968252135853e+00
1.921630596172095920e+03 1.046803724567713978e+00
1.921637194565633990e+03 1.045999562345969691e+00
1.921643792838486661e+03 1.045598102604070601e+00
1.921650390990649612e+03 1.045594399551830866e+00
1.921656989022118751e+03 1.045966732298631685e+00
1.921663586932890439e+03 1.046668073321510350e+00
1.921670184722960130e+03 1.047563165265058993e+00
1.921676782392323730e+03 1.048596905136068846e+00
1.921683379940977147e+03 1.049786156775127655e+00
1.921689977368916516e+03 1.051184439294253536e+00
1.921696574676137288e+03 1.052828342115016191e+00
1.921703171862635600e+03 1.054721759370502721e+00
1.921709768928407357e+03 1.056852577553650363e+00
1.921716365873448467e+03 1.059149331231647340e+00
1.921722962697754610e+03 1.061484374251550067e+00
1.921729559401321922e+03 1.063724793867641294e+00
1.921736155984146080e+03 1.065768852438170100e+00
1.921742752446223221e+03 1.067562700204755410e+00
1.921749348787549025e+03 1.069075089931272871e+00
1.921755945008119397e+03 1.070274833657616220e+00
1.921762541107930019e+03 1.071124772270286130e+00
1.921769137086977253e+03 1.071728235608189195e+00
1.921775732945257005e+03 1.072220065994026417e+00
1.921782328682764501e+03 1.072751166727123229e+00
1.921788924299496330e+03 1.073427986417905933e+00
1.921795519795447717e+03 1.074255587028847270e+00
1.921802115170615252e+03 1.075119070012144018e+00
1.921808710424994388e+03 1.075811301071121884e+00
1.921815305558581031e+03 1.076137982614629784e+00
1.921821900571371089e+03 1.076057037907450997e+00
1.921828495463360696e+03 1.075610921472484938e+00
1.921835090234545532e+03 1.074869030408865500e+00
1.921841684884921278e+03 1.073890811323555461e+00
1.921848279414484296e+03 1.072757003087307037e+00
1.921854873823230264e+03 1.071601499605773444e+00
1.921861468111154863e+03 1.070592042251687692e+00
1.921868062278254229e+03 1.069780997347035578e+00
1.921874656324524267e+03 1.069093144693133990e+00
1.921881250249960431e+03 1.068385505813620018e+00
1.921887844054559309e+03 1.067537511922172166e+00
1.921894437738316356e+03 1.066509259417261379e+00
1.921901031301227249e+03 1.065333657692100866e+00
1.921907624743288579e+03 1.064082664012219848e+00
1.921914218064495572e+03 1.062857910535474071e+00
1.921920811264844360e+03 1.061758207485984595e+00
1.921927404344330853e+03 1.060871431054579483e+00
1.921933997302950957e+03 1.060274334861762924e+00
1.921940590140700579e+03 1.060022265883417303e+00
1.921947182857575399e+03 1.060128428132339096e+00
1.921953775453571780e+03 1.060546081396902540e+00
1.921960367928685173e+03 1.061177215642869598e+00
1.921966960282911259e+03 1.061863894346343651e+00
1.921973552516246627e+03 1.062481958448022734e+00
1.921980144628686730e+03 1.062942986174514548e+00
1.921986736620227475e+03 1.063190476409276997e+00
1.921993328490864769e+03 1.063191036867402905e+00
1.921999920240594747e+03 1.062928019444425054e+00
1.922006511869412861e+03 1.062422216610480197e+00
1.922013103377315247e+03 1.061799224261601671e+00
1.922019694764297810e+03 1.061290638675291165e+00
1.922026286030356459e+03 1.061088844551314025e+00
1.922032877175487101e+03 1.061265991772332162e+00
1.922039468199685416e+03 1.061725480924040177e+00
1.922046059102947538e+03 1.062221327954053995e+00
1.922052649885269147e+03 1.062455825000797605e+00
1.922059240546646606e+03 1.062210923767563431e+00
1.922065831087075139e+03 1.061566328909123946e+00
1.922072421506550882e+03 1.060793866632578686e+00
1.922079011805069968e+03 1.060136682064397595e+00
1.922085601982628077e+03 1.059702524631036979e+00
1.922092192039221118e+03 1.059450792730701529e+00
1.922098781974844997e+03 1.059256497601008595e+00
1.922105371789495621e+03 1.058983661598956738e+00
1.922111961483169125e+03 1.058532109689853895e+00
1.922118551055860735e+03 1.057951841990626418e+00
1.922125140507567039e+03 1.057363426896577252e+00
1.922131729838283491e+03 1.056901364008960842e+00
1.922138319048006224e+03 1.056664004007606072e+00
1.922144908136731146e+03 1.056708921415502767e+00
1.922151497104453711e+03 1.057063741432463955e+00
1.922158085951170733e+03 1.057733809855101681e+00
1.922164674676876984e+03 1.058667569630491245e+00
1.922171263281569054e+03 1.059768862879452156e+00
1.922177851765242849e+03 1.060968461502596938e+00
1.922184440127894050e+03 1.062218243091613834e+00
1.922191028369518563e+03 1.063483729984572967e+00
1.922197616490112068e+03 1.064732661496610389e+00
1.922204204489670929e+03 1.065923020371212004e+00
1.922210792368191051e+03 1.066971746595087200e+00
1.922217380125667887e+03 1.067793902719116117e+00
1.922223967762097345e+03 1.068328410739496359e+00
1.922230555277475787e+03 1.068550055890090444e+00
1.922237142671798665e+03 1.068479645917637111e+00
1.922243729945062114e+03 1.068206102695692605e+00
1.922250317097262041e+03 1.067880807251312625e+00
1.922256904128394126e+03 1.067628092709070442e+00
1.922263491038454504e+03 1.067414937697960919e+00
1.922270077827438854e+03 1.067062424049639136e+00
1.922276664495343084e+03 1.066422728154862831e+00
1.922283251042163329e+03 1.065452510295233468e+00
1.922289837467895268e+03 1.064199780484611502e+00
1.922296423772535036e+03 1.062765417595591178e+00
1.922303009956078313e+03 1.061278550326373082e+00
1.922309596018521006e+03 1.059870355285989829e+00
1.922316181959859023e+03 1.058616832926668971e+00
1.922322767780088270e+03 1.057532951516907405e+00
1.922329353479204656e+03 1.056639546879744707e+00
1.922335939057204087e+03 1.055973464859141897e+00
1.922342524514082470e+03 1.055568880554472733e+00
1.922349109849835486e+03 1.055444003543145381e+00
1.922355695064459496e+03 1.055609891491494423e+00
1.922362280157949954e+03 1.056111965964706023e+00
1.922368865130302993e+03 1.056936622385832303e+00
1.922375449981514521e+03 1.058068728285291193e+00
1.922382034711580218e+03 1.059476146233323313e+00
1.922388619320496218e+03 1.061121302848064829e+00
1.922395203808258202e+03 1.062966171007513339e+00
1.922401788174862304e+03 1.064966997807440530e+00
1.922408372420304204e+03 1.067087663561596678e+00
1.922414956544580036e+03 1.069332558223448304e+00
1.922421540547685254e+03 1.071730954810642400e+00
1.922428124429616219e+03 1.074304102145511974e+00
1.922434708190368838e+03 1.076997241502304803e+00
1.922441291829938564e+03 1.079656093967707120e+00
1.922447875348321759e+03 1.082079343970798746e+00
1.922454458745514103e+03 1.084133312456742937e+00
1.922461042021511730e+03 1.085823195200477986e+00
1.922467625176310094e+03 1.087317085280876672e+00
1.922474208209905328e+03 1.088767455528187433e+00
1.922480791122293112e+03 1.090227922224580759e+00
1.922487373913470037e+03 1.091660087460052830e+00
1.922493956583431327e+03 1.092957581053155325e+00
1.922500539132173117e+03 1.093991464860796237e+00
1.922507121559691086e+03 1.094662980014714293e+00
1.922513703865981370e+03 1.094880152534023932e+00
1.922520286051039875e+03 1.094647512515732002e+00
1.922526868114862509e+03 1.093951876758101349e+00
1.922533450057445179e+03 1.092836887297560233e+00
1.922540031878783566e+03 1.091429386964544390e+00
1.922546613578873576e+03 1.089885696335203491e+00
1.922553195157711571e+03 1.088314937647763436e+00
1.922559776615293003e+03 1.086760987420252178e+00
1.922566357951614009e+03 1.085242477110481607e+00
1.922572939166670039e+03 1.083772158605871727e+00
1.922579520260457457e+03 1.082342201619429733e+00
1.922586101232972169e+03 1.080899599932363619e+00
1.922592682084209855e+03 1.079357564603088404e+00
1.922599262814166423e+03 1.077629901668414325e+00
1.922605843422838007e+03 1.075651253798739493e+00
1.922612423910220286e+03 1.073365531192075784e+00
1.922619004276309170e+03 1.070799007808135972e+00
1.922625584521100791e+03 1.068071175716371224e+00
1.922632164644590603e+03 1.065320758213245123e+00
1.922638744646774967e+03 1.062627954405199748e+00
1.922645324527649564e+03 1.059950605644135679e+00
1.922651904287210300e+03 1.057136442443059821e+00
1.922658483925453083e+03 1.054005390662140051e+00
1.922665063442373821e+03 1.050409586007284179e+00
1.922671642837968648e+03 1.046421487486637547e+00
1.922678222112233016e+03 1.042231010284019765e+00
1.922684801265163060e+03 1.038113274478640324e+00
1.922691380296754687e+03 1.034331724694462995e+00
1.922697959207003805e+03 1.031033913246373945e+00
1.922704537995906321e+03 1.028248215965677170e+00
1.922711116663458142e+03 1.025989428540146964e+00
1.922717695209655176e+03 1.024357122483904092e+00
1.922724273634493102e+03 1.023337032144347125e+00
1.922730851937968282e+03 1.022837345613560212e+00
1.922737430120076169e+03 1.022664664639588050e+00
1.922744008180813125e+03 1.022639092338065270e+00
1.922750586120174376e+03 1.022678679050972761e+00
1.922757163938156509e+03 1.022787228662889403e+00
1.922763741634754979e+03 1.023017807580818728e+00
1.922770319209965919e+03 1.023472828363223952e+00
1.922776896663785237e+03 1.024286838669337563e+00
1.922783473996208613e+03 1.025601786103230273e+00
1.922790051207232182e+03 1.027494402681062402e+00
1.922796628296851623e+03 1.029945071232793552e+00
1.922803205265063298e+03 1.032853956104850868e+00
1.922809782111862660e+03 1.036074888589286092e+00
1.922816358837245843e+03 1.039433459956587313e+00
1.922822935441208301e+03 1.042740030337399260e+00
1.922829511923746395e+03 1.045912244437404715e+00
1.922836088284856260e+03 1.049008439680487070e+00
1.922842664524533348e+03 1.052185364527826961e+00
1.922849240642773566e+03 1.055579730835494612e+00
1.922855816639573050e+03 1.059196466073913712e+00
1.922862392514927478e+03 1.062882105813583111e+00
1.922868968268832987e+03 1.066350024740340130e+00
1.922875543901285255e+03 1.069376424326687891e+00
1.922882119412280190e+03 1.071842657546901112e+00
1.922888694801813926e+03 1.073768551554444617e+00
1.922895270069882372e+03 1.075299324046268268e+00
1.922901845216481206e+03 1.076610489420896100e+00
1.922908420241606336e+03 1.077793269471126525e+00
1.922914995145254125e+03 1.078828062538368604e+00
1.922921569927419796e+03 1.079670522326137805e+00
1.922928144588099485e+03 1.080370450558460815e+00
1.922934719127289327e+03 1.081004540173198913e+00
1.922941293544985001e+03 1.081630613829904330e+00
1.922947867841182870e+03 1.082265252961269075e+00
1.922954442015878158e+03 1.082887427952854420e+00
1.922961016069067000e+03 1.083434343448596238e+00
1.922967590000745531e+03 1.083792201914333564e+00
1.922974163810909431e+03 1.083875098534356818e+00
1.922980737499555062e+03 1.083722874086068044e+00
1.922987311066677421e+03 1.083454328887166307e+00
1.922993884512273326e+03 1.083207408395834737e+00
1.923000457836338001e+03 1.083076291087285536e+00
1.923007031038867808e+03 1.083086230952988283e+00
1.923013604119858655e+03 1.083193242565254399e+00
1.923020177079305995e+03 1.083286337390909848e+00
1.923026749917206416e+03 1.083224665832380751e+00
1.923033322633555372e+03 1.082907142236806175e+00
1.923039895228348769e+03 1.082287912991516610e+00
1.923046467701582515e+03 1.081384515442926020e+00
1.923053040053252516e+03 1.080269943800457710e+00
1.923059612283354909e+03 1.079045487652503743e+00
1.923066184391885599e+03 1.077793969512300443e+00
1.923072756378840040e+03 1.076544709093291141e+00
1.923079328244214594e+03 1.075292185595492445e+00
1.923085899988005167e+03 1.074055551169410760e+00
1.923092471610207440e+03 1.072889647246793254e+00
1.923099043110817320e+03 1.071850782748552833e+00
1.923105614489830941e+03 1.070965717694714936e+00
1.923112185747243984e+03 1.070233799761335147e+00
1.923118756883052356e+03 1.069651445295796588e+00
1.923125327897252191e+03 1.069233593937073845e+00
1.923131898789839170e+03 1.068970536534634919e+00
1.923138469560809426e+03 1.068833924650596456e+00
1.923145040210158641e+03 1.068753969196608367e+00
1.923151610737882947e+03 1.068646519619613766e+00
1.923158181143978027e+03 1.068456432911871978e+00
1.923164751428440013e+03 1.068174197732016495e+00
1.923171321591264586e+03 1.067811209537419259e+00
1.923177891632447654e+03 1.067374450852296874e+00
1.923184461551985351e+03 1.066867743178451455e+00
1.923191031349873356e+03 1.066297469024579891e+00
1.923197601026107805e+03 1.065691926552872149e+00
1.923204170580684604e+03 1.065112937549610006e+00
1.923210740013599434e+03 1.064650954299581898e+00
1.923217309324848429e+03 1.064389374374829611e+00
