# wavelength(nm) flux flux_error
1.921311782295128296e+03 nan nan
1.921318395613569464e+03 nan nan
1.921325008806361211e+03 nan nan
1.921331621873500808e+03 nan nan
1.921338234814983480e+03 nan nan
1.921344847630805361e+03 nan nan
1.921351460320963270e+03 nan nan
1.921358072885453112e+03 nan nan
1.921364685324270567e+03 nan nan
1.921371297637412226e+03 nan nan
1.921377909824873996e+03 nan nan
1.921384521886652465e+03 nan nan
1.921391133822743313e+03 nan nan
1.921397745633142904e+03 nan nan
1.921404357317847371e+03 nan nan
1.921410968876852394e+03 nan nan
1.921417580310155017e+03 nan nan
1.921424191617750694e+03 nan nan
1.921430802799635785e+03 nan nan
1.921437413855807108e+03 nan nan
1.921444024786259433e+03 nan nan
1.921450635590989805e+03 nan nan
1.921457246269994130e+03 nan nan
1.921463856823268543e+03 nan nan
1.921470467250809861e+03 nan nan
1.921477077552613082e+03 nan nan
1.921483687728675022e+03 nan nan
1.921490297778991817e+03 nan nan
1.921496907703559600e+03 nan nan
1.921503517502374507e+03 nan nan
1.921510127175432444e+03 nan nan
1.921516736722730002e+03 nan nan
1.921523346144262860e+03 nan nan
1.921529955440027607e+03 nan nan
1.921536564610020150e+03 nan nan
1.921543173654236398e+03 nan nan
1.921549782572672939e+03 nan nan
1.921556391365325908e+03 nan nan
1.921563000032190985e+03 nan nan
1.921569608573264986e+03 nan nan
1.921576216988543820e+03 nan nan
1.921582825278023392e+03 nan nan
1.921589433441699839e+03 nan nan
1.921596041479569749e+03 nan nan
1.921602649391628802e+03 nan nan
1.921609257177873360e+03 nan nan
1.921615864838299558e+03 nan nan
1.921622472372903758e+03 nan nan
1.921629079781681639e+03 nan nan
1.921635687064629792e+03 nan nan
1.921642294221744123e+03 nan nan
1.921648901253020995e+03 nan nan
1.921655508158456087e+03 nan nan
1.921662114938046216e+03 nan nan
1.921668721591787289e+03 nan nan
1.921675328119675214e+03 nan nan
1.921681934521706353e+03 nan nan
1.921688540797876840e+03 nan nan
1.921695146948182810e+03 nan nan
1.921701752972620397e+03 nan nan
1.921708358871185737e+03 nan nan
1.921714964643875192e+03 nan nan
1.921721570290684440e+03 nan nan
1.921728175811610299e+03 nan nan
1.921734781206648222e+03 nan nan
1.921741386475795025e+03 nan nan
1.921747991619046388e+03 nan nan
1.921754596636398674e+03 nan nan
1.921761201527847788e+03 nan nan
1.921767806293390095e+03 nan nan
1.921774410933022182e+03 nan nan
1.921781015446739275e+03 nan nan
1.921787619834538418e+03 nan nan
1.921794224096415064e+03 nan nan
1.921800828232365802e+03 nan nan
1.921807432242386540e+03 nan nan
1.921814036126473638e+03 nan nan
1.921820639884623006e+03 nan nan
1.921827243516831231e+03 nan nan
1.921833847023093995e+03 nan nan
1.921840450403407658e+03 nan nan
1.921847053657768356e+03 nan nan
1.921853656786172451e+03 nan nan
1.921860259788615849e+03 nan nan
1.921866862665094686e+03 nan nan
1.921873465415605324e+03 nan nan
1.921880068040143442e+03 nan nan
1.921886670538705857e+03 nan nan
1.921893272911288477e+03 nan nan
1.921899875157886981e+03 nan nan
1.921906477278498414e+03 nan nan
1.921913079273118228e+03 nan nan
1.921919681141742785e+03 nan nan
1.921926282884368447e+03 nan nan
1.921932884500991122e+03 nan nan
1.921939485991606944e+03 nan nan
1.921946087356212274e+03 nan nan
1.921952688594803249e+03 nan nan
1.921959289707376001e+03 nan nan
1.921965890693926212e+03 nan nan
1.921972491554450926e+03 nan nan
1.921979092288945594e+03 nan nan
1.921985692897406580e+03 nan nan
1.921992293379830244e+03 nan nan
1.921998893736212722e+03 nan nan
1.922005493966549693e+03 nan nan
1.922012094070837747e+03 nan nan
1.922018694049072792e+03 nan nan
1.922025293901251416e+03 nan nan
1.922031893627369527e+03 nan nan
1.922038493227423032e+03 nan nan
1.922045092701408521e+03 nan nan
1.922051692049321900e+03 nan nan
1.922058291271159533e+03 nan nan
1.922064890366917325e+03 nan nan
1.922071489336591412e+03 nan nan
1.922078088180178156e+03 nan nan
1.922084686897673691e+03 nan nan
1.922091285489074153e+03 nan nan
1.922097883954375675e+03 nan nan
1.922104482293574392e+03 nan nan
1.922111080506666667e+03 nan nan
1.922117678593648179e+03 nan nan
1.922124276554515745e+03 nan nan
1.922130874389265045e+03 nan nan
1.922137472097892214e+03 nan nan
1.922144069680393841e+03 nan nan
1.922150667136765605e+03 nan nan
1.922157264467004325e+03 nan nan
1.922163861671105224e+03 nan nan
1.922170458749065119e+03 nan nan
1.922177055700880146e+03 nan nan
1.922183652526546211e+03 nan nan
1.922190249226059677e+03 nan nan
1.922196845799416451e+03 nan nan
1.922203442246612894e+03 nan nan
1.922210038567645597e+03 nan nan
1.922216634762510012e+03 nan nan
1.922223230831202272e+03 nan nan
1.922229826773719196e+03 nan nan
1.922236422590056463e+03 nan nan
1.922243018280210435e+03 nan nan
1.922249613844177247e+03 nan nan
1.922256209281953033e+03 nan nan
1.922262804593533929e+03 nan nan
1.922269399778915840e+03 nan nan
1.922275994838095357e+03 nan nan
1.922282589771068615e+03 nan nan
1.922289184577831293e+03 nan nan
1.922295779258380435e+03 nan nan
1.922302373812711494e+03 nan nan
1.922308968240820832e+03 nan nan
1.922315562542704583e+03 nan nan
1.922322156718358883e+03 nan nan
1.922328750767779866e+03 nan nan
1.922335344690963893e+03 nan nan
1.922341938487907100e+03 nan nan
1.922348532158605167e+03 nan nan
1.922355125703055137e+03 nan nan
1.922361719121252463e+03 nan nan
1.922368312413193507e+03 nan nan
1.922374905578874859e+03 nan nan
1.922381498618291744e+03 nan nan
1.922388091531441205e+03 nan nan
1.922394684318318923e+03 nan nan
1.922401276978921487e+03 nan nan
1.922407869513244577e+03 nan nan
1.922414461921284783e+03 nan nan
1.922421054203037556e+03 nan nan
1.922427646358499942e+03 nan nan
1.922434238387667847e+03 nan nan
1.922440830290537178e+03 nan nan
1.922447422067104299e+03 nan nan
1.922454013717365342e+03 nan nan
1.922460605241316671e+03 nan nan
1.922467196638953965e+03 nan nan
1.922473787910273813e+03 nan nan
1.922480379055271897e+03 nan nan
1.922486970073945258e+03 nan nan
1.922493560966289351e+03 nan nan
1.922500151732300537e+03 nan nan
1.922506742371974724e+03 nan nan
1.922513332885308500e+03 nan nan
1.922519923272297774e+03 nan nan
1.922526513532938907e+03 nan nan
1.922533103667228261e+03 nan nan
1.922539693675161288e+03 nan nan
1.922546283556734579e+03 nan nan
1.922552873311944722e+03 nan nan
1.922559462940787171e+03 nan nan
1.922566052443258513e+03 nan nan
1.922572641819354430e+03 nan nan
1.922579231069071739e+03 nan nan
1.922585820192406345e+03 nan nan
1.922592409189354385e+03 nan nan
1.922598998059911992e+03 nan nan
1.922605586804075529e+03 nan nan
1.922612175421840675e+03 nan nan
1.922618763913204248e+03 nan nan
1.922625352278162154e+03 nan nan
1.922631940516710301e+03 nan nan
1.922638528628845052e+03 nan nan
1.922645116614562767e+03 nan nan
1.922651704473859581e+03 nan nan
1.922658292206731176e+03 nan nan
1.922664879813174366e+03 nan nan
1.922671467293185060e+03 nan nan
1.922678054646759165e+03 nan nan
1.922684641873893270e+03 nan nan
1.922691228974583282e+03 nan nan
1.922697815948825564e+03 nan nan
1.922704402796616023e+03 nan nan
1.922710989517951248e+03 nan nan
1.922717576112827146e+03 nan nan
1.922724162581239625e+03 nan nan
1.922730748923185274e+03 nan nan
1.922737335138660228e+03 nan nan
1.922743921227660621e+03 nan nan
1.922750507190182134e+03 nan nan
1.922757093026221810e+03 nan nan
1.922763678735775102e+03 nan nan
1.922770264318838599e+03 nan nan
1.922776849775408209e+03 nan nan
1.922783435105480294e+03 nan nan
1.922790020309050988e+03 nan nan
1.922796605386116198e+03 nan nan
1.922803190336672515e+03 nan nan
1.922809775160716072e+03 nan nan
1.922816359858242777e+03 nan nan
1.922822944429248764e+03 nan nan
1.922829528873730396e+03 nan nan
1.922836113191684035e+03 nan nan
1.922842697383105588e+03 nan nan
1.922849281447991189e+03 nan nan
1.922855865386337200e+03 nan nan
1.922862449198139529e+03 nan nan
1.922869032883394766e+03 nan nan
1.922875616442098590e+03 nan nan
1.922882199874247362e+03 nan nan
1.922888783179837446e+03 nan nan
1.922895366358864976e+03 nan nan
1.922901949411326086e+03 nan nan
1.922908532337216684e+03 nan nan
1.922915115136533586e+03 nan nan
1.922921697809272018e+03 nan nan
1.922928280355428797e+03 nan nan
1.922934862775000056e+03 nan nan
1.922941445067981704e+03 nan nan
1.922948027234370784e+03 nan nan
1.922954609274162067e+03 nan nan
1.922961191187352597e+03 nan nan
1.922967772973938736e+03 nan nan
1.922974354633915937e+03 nan nan
1.922980936167281243e+03 nan nan
1.922987517574029880e+03 nan nan
1.922994098854158892e+03 nan nan
1.923000680007663732e+03 nan nan
1.923007261034540988e+03 nan nan
1.923013841934787024e+03 nan nan
1.923020422708397291e+03 nan nan
1.923027003355368834e+03 nan nan
1.923033583875697559e+03 nan nan
1.923040164269379147e+03 nan nan
1.923046744536410188e+03 nan nan
1.923053324676786815e+03 nan nan
1.923059904690505164e+03 nan nan
1.923066484577561596e+03 nan nan
1.923073064337952019e+03 nan nan
1.923079643971672795e+03 nan nan
1.923086223478720058e+03 nan nan
1.923092802859089943e+03 nan nan
1.923099382112778585e+03 nan nan
1.923105961239782573e+03 nan nan
1.923112540240097360e+03 nan nan
1.923119119113719535e+03 nan nan
1.923125697860645460e+03 nan nan
1.923132276480870814e+03 nan nan
1.923138854974392189e+03 nan nan
1.923145433341205717e+03 nan nan
1.923152011581307534e+03 nan nan
1.923158589694693774e+03 nan nan
1.923165167681360572e+03 nan nan
1.923171745541304290e+03 nan nan
1.923178323274520608e+03 nan nan
1.923184900881006342e+03 nan nan
1.923191478360757401e+03 nan nan
1.923198055713769918e+03 nan nan
1.923204632940040256e+03 nan nan
1.923211210039564321e+03 nan nan
1.923217787012338476e+03 nan nan
1.923224363858358856e+03 nan nan
1.923230940577621595e+03 nan nan
1.923237517170123056e+03 nan nan
1.923244093635859144e+03 nan nan
1.923250669974826224e+03 nan nan
1.923257246187020428e+03 nan nan
1.923263822272438347e+03 nan nan
1.923270398231074978e+03 nan nan
1.923276974062927820e+03 nan nan
1.923283549767992326e+03 nan nan
1.923290125346265313e+03 nan nan
1.923296700797742233e+03 nan nan
1.923303276122419220e+03 nan nan
1.923309851320293319e+03 nan nan
1.923316426391359755e+03 nan nan
1.923323001335615118e+03 nan nan
1.923329576153055996e+03 nan nan
1.923336150843678070e+03 nan nan
1.923342725407477701e+03 nan nan
1.923349299844450798e+03 nan nan
1.923355874154593948e+03 nan nan
1.923362448337903061e+03 nan nan
1.923369022394374269e+03 nan nan
1.923375596324004164e+03 nan nan
1.923382170126788196e+03 nan nan
1.923388743802723639e+03 nan nan
1.923395317351805716e+03 nan nan
1.923401890774030790e+03 nan nan
1.923408464069395450e+03 nan nan
1.923415037237895376e+03 nan nan
1.923421610279527158e+03 nan nan
1.923428183194286930e+03 nan nan
1.923434755982170600e+03 nan nan
1.923441328643174529e+03 nan nan
1.923447901177294852e+03 nan nan
1.923454473584527705e+03 nan nan
