# wavelength(um) flux(photons/s1/m3) flux_error
4.040404040404040664e+00 3.598964364359112806e+05 5.515765943358806893e+06
4.122028364452606120e+00 5.183275263574207784e+05 5.377050036271710880e+06
4.205301664744578893e+00 6.888493389679887332e+04 5.274696839524216019e+06
4.290257253931337722e+00 1.999487963992310824e+03 5.281973700867422856e+06
4.376929117647121892e+00 1.726398978701278975e+04 5.109342971153115854e+06
4.465351928104639434e+00 2.192462955816792091e+05 4.902330845424923114e+06
4.555561057965339167e+00 9.480359821339350310e+04 4.813915362973205745e+06
4.647592594489891482e+00 7.961585024772092584e+04 4.607412788204696961e+06
4.741483353974536463e+00 7.576658968096452008e+04 4.296857242248574272e+06
4.837270896479072491e+00 3.215799999268891406e+05 4.090028245823696256e+06
4.934993540852387284e+00 9.070152775771940360e+05 3.901105986115111504e+06
5.034690380061525694e+00 1.198753300123633817e+06 3.614812129830162041e+06
5.136401296830445773e+00 1.132197769590871641e+06 3.348324987322177738e+06
5.240166979594697239e+00 9.769481961168983253e+05 3.163688224348498508e+06
5.346028938778427886e+00 1.139849925693714991e+06 2.973787490489208139e+06
5.454029523400214963e+00 9.290043321135742590e+05 2.744294323615420144e+06
5.564211938014360648e+00 8.958965916724811541e+05 2.542564965018078219e+06
5.676620259994448858e+00 7.636448831568525638e+05 2.389657405531912576e+06
5.791299457166053877e+00 7.758293184587515425e+05 2.239993617514486890e+06
5.908295405795671584e+00 6.594285044753430411e+05 2.071647793925100006e+06
6.027654908943058665e+00 7.782089955373123521e+05 1.913626766168639762e+06
6.149425715184332120e+00 9.868839922074050410e+05 1.784545636949402513e+06
6.273656537713309334e+00 1.612658286851824727e+06 1.669053261348318774e+06
6.400397073828729688e+00 7.884261300433216384e+05 1.548489668386759935e+06
6.529698024815169255e+00 1.883397966796985711e+05 1.427841444282380631e+06
6.661611116225575557e+00 3.833497972672940814e+05 1.320942412047327962e+06
6.796189118573567001e+00 3.704681992425748613e+05 1.229612469355842797e+06
6.933485868443741040e+00 5.621083051457569236e+05 1.145744646213922184e+06
7.073556290028461646e+00 9.940020361177449813e+05 1.063405193576098885e+06
7.216456417099744947e+00 1.548135232152762124e+06 9.847297224875610555e+05
7.362243415424991611e+00 1.030120589821631089e+06 9.141574687513760291e+05
7.510975605635596963e+00 9.551287898999884492e+05 8.532969814228272298e+05
7.662712486557527569e+00 9.802892053698562086e+05 7.992141196014614543e+05
7.817514759013236336e+00 1.145393157252474688e+06 7.488088544054488884e+05
7.975444350104412550e+00 1.535517974055714440e+06 7.014151468568394193e+05
8.136564437985310150e+00 3.283935666271239053e+06 6.587865272867358290e+05
8.300939477136529021e+00 5.823930474222503603e+06 6.219128695713530760e+05
8.468635224149389629e+00 7.442094057394996285e+06 5.899135789617067203e+05
8.639718764031194098e+00 9.022139474022578448e+06 5.619037082720383769e+05
8.814258537041927966e+00 1.073631797760851867e+07 5.367016623431303306e+05
8.992324366073077613e+00 1.162332829186755978e+07 5.133705373328235000e+05
9.173987484579601670e+00 1.232411093691806681e+07 4.924303717753473902e+05
9.359320565076162168e+00 1.228492756438928656e+07 4.740794399918554118e+05
9.548397748209012548e+00 1.122421662171730027e+07 4.583274177060241345e+05
9.741294672415254041e+00 1.098789587251612544e+07 4.457399213711499469e+05
9.938088504181219918e+00 1.108906157830355503e+07 4.355334300357422908e+05
1.013885796891215385e+01 1.160516435227972642e+07 4.272267475491089281e+05
1.034368338242552987e+01 1.165003031158176064e+07 4.201341404186752043e+05
1.055264668308059228e+01 1.086517093122593127e+07 4.141124332424792810e+05
1.076583146455696749e+01 1.258774711675317399e+07 4.109494417894865619e+05
1.098332300929549277e+01 1.185976435030762292e+07 4.084030356200099341e+05
1.120520832261459354e+01 9.292609999011989683e+06 4.067690088740724023e+05
1.143157616751589778e+01 6.441137188927156851e+06 4.066137096285276930e+05
1.166251710019298748e+01 4.420874616430182010e+06 4.081812139434568817e+05
1.189812350625749282e+01 4.247724042454677634e+06 4.116558362196718226e+05
1.213848963769703637e+01 4.548729222822674550e+06 4.162019053287887364e+05
1.238371165057980683e+01 4.530741362737664022e+06 4.214156799643156701e+05
1.263388764352081139e+01 5.537153067992014810e+06 4.279690652644781512e+05
1.288911769692527365e+01 8.144893975637137890e+06 4.362048689166684053e+05
1.314950391302477506e+01 1.062846392108708993e+07 4.454521594877567841e+05
1.341515045672224282e+01 1.082755749824735709e+07 4.548494738654106040e+05
1.368616359726208742e+01 9.961056477007070556e+06 4.648710009527202346e+05
1.396265175074213083e+01 7.816303190796250477e+06 4.753100168953277171e+05
1.424472552348439613e+01 5.790013630509016104e+06 4.865572933843661449e+05
1.453249775628206031e+01 3.594885945672552101e+06 4.983448408426622045e+05
1.482608356954028395e+01 3.014829084728320595e+06 5.112454856238941429e+05
1.512560040932897643e+01 3.088908234267495573e+06 5.248635841500418028e+05
1.543116809436592263e+01 3.633286075004739687e+06 5.391872602392828558e+05
1.574290886394907574e+01 5.346043956202968024e+06 5.545645146462579723e+05
1.606094742685713683e+01 7.436391485375711694e+06 5.708302505766374525e+05
1.638541101123809085e+01 8.869265168440524489e+06 5.877394102555456338e+05
1.671642941550552308e+01 9.382564135299401358e+06 6.052738628726125462e+05
1.705413506026321002e+01 1.035215303352128901e+07 6.238728678322577616e+05
1.739866304127863117e+01 1.077932386754862964e+07 6.431449270718808984e+05
1.775015118352667898e+01 1.097936430913174339e+07 6.630788776068915613e+05
1.810874009632519943e+01 1.073899818407018483e+07 6.834820235790659208e+05
1.839491374864422824e+01 1.002739915452280827e+07 9.256945581027909648e+05
