# wavelength(nm) flux flux_error
1.921314149617525572e+03 nan nan
1.921320751325891251e+03 nan nan
1.921327352919321356e+03 nan nan
1.921333954397812704e+03 nan nan
1.921340555761360065e+03 nan nan
1.921347157009959346e+03 nan nan
1.921353758143606228e+03 nan nan
1.921360359162295936e+03 nan nan
1.921366960066024149e+03 nan nan
1.921373560854786774e+03 nan nan
1.921380161528579038e+03 nan nan
1.921386762087396619e+03 nan nan
1.921393362531235425e+03 nan nan
1.921399962860090454e+03 nan nan
1.921406563073957386e+03 nan nan
1.921413163172832128e+03 nan nan
1.921419763156710133e+03 nan nan
1.921426363025587079e+03 nan nan
1.921432962779458194e+03 nan nan
1.921439562418319838e+03 nan nan
1.921446161942166555e+03 nan nan
1.921452761350994479e+03 nan nan
1.921459360644799062e+03 nan nan
1.921465959823575986e+03 nan nan
1.921472558887320929e+03 nan nan
1.921479157836029344e+03 nan nan
1.921485756669696684e+03 nan nan
1.921492355388318856e+03 nan nan
1.921498953991891085e+03 nan nan
1.921505552480409051e+03 nan nan
1.921512150853868661e+03 nan nan
1.921518749112265141e+03 nan nan
1.921525347255593942e+03 nan nan
1.921531945283851201e+03 nan nan
1.921538543197031913e+03 nan nan
1.921545140995131987e+03 nan nan
1.921551738678147103e+03 nan nan
1.921558336246072713e+03 nan nan
1.921564933698904042e+03 nan nan
1.921571531036637225e+03 nan nan
1.921578128259267714e+03 nan nan
1.921584725366790963e+03 nan nan
1.921591322359202422e+03 nan nan
1.921597919236498001e+03 nan nan
1.921604515998672923e+03 nan nan
1.921611112645723324e+03 nan nan
1.921617709177644201e+03 nan nan
1.921624305594431235e+03 nan nan
1.921630901896080331e+03 nan nan
1.921637498082586944e+03 nan nan
1.921644094153946753e+03 nan nan
1.921650690110154756e+03 nan nan
1.921657285951207086e+03 nan nan
1.921663881677099425e+03 nan nan
1.921670477287827225e+03 nan nan
1.921677072783385711e+03 nan nan
1.921683668163771017e+03 nan nan
1.921690263428978369e+03 nan nan
1.921696858579003447e+03 nan nan
1.921703453613841930e+03 nan nan
1.921710048533489044e+03 nan nan
1.921716643337940923e+03 nan nan
1.921723238027192792e+03 nan nan
1.921729832601240332e+03 nan nan
1.921736427060078995e+03 nan nan
1.921743021403704688e+03 nan nan
1.921749615632112636e+03 nan nan
1.921756209745298747e+03 nan nan
1.921762803743258019e+03 nan nan
1.921769397625986812e+03 nan nan
1.921775991393480581e+03 nan nan
1.921782585045734322e+03 nan nan
1.921789178582744398e+03 nan nan
1.921795772004505352e+03 nan nan
1.921802365311014000e+03 nan nan
1.921808958502265114e+03 nan nan
1.921815551578254372e+03 nan nan
1.921822144538977682e+03 nan nan
1.921828737384430497e+03 nan nan
1.921835330114608269e+03 nan nan
1.921841922729506450e+03 nan nan
1.921848515229121176e+03 nan nan
1.921855107613447672e+03 nan nan
1.921861699882481389e+03 nan nan
1.921868292036218236e+03 nan nan
1.921874884074653664e+03 nan nan
1.921881475997782900e+03 nan nan
1.921888067805602304e+03 nan nan
1.921894659498106876e+03 nan nan
1.921901251075292294e+03 nan nan
1.921907842537154465e+03 nan nan
1.921914433883688389e+03 nan nan
1.921921025114890199e+03 nan nan
1.921927616230755120e+03 nan nan
1.921934207231279061e+03 nan nan
1.921940798116457472e+03 nan nan
1.921947388886285808e+03 nan nan
1.921953979540759974e+03 nan nan
1.921960570079875197e+03 nan nan
1.921967160503626928e+03 nan nan
1.921973750812011531e+03 nan nan
1.921980341005024002e+03 nan nan
1.921986931082660021e+03 nan nan
1.921993521044915042e+03 nan nan
1.922000110891785198e+03 nan nan
1.922006700623265260e+03 nan nan
1.922013290239351363e+03 nan nan
1.922019879740039187e+03 nan nan
1.922026469125323956e+03 nan nan
1.922033058395201579e+03 nan nan
1.922039647549667279e+03 nan nan
1.922046236588716965e+03 nan nan
1.922052825512346089e+03 nan nan
1.922059414320550559e+03 nan nan
1.922066003013325371e+03 nan nan
1.922072591590666434e+03 nan nan
1.922079180052569427e+03 nan nan
1.922085768399029803e+03 nan nan
1.922092356630043241e+03 nan nan
1.922098944745605195e+03 nan nan
1.922105532745711344e+03 nan nan
1.922112120630357595e+03 nan nan
1.922118708399538946e+03 nan nan
1.922125296053251304e+03 nan nan
1.922131883591490350e+03 nan nan
1.922138471014251309e+03 nan nan
1.922145058321530314e+03 nan nan
1.922151645513322364e+03 nan nan
1.922158232589623822e+03 nan nan
1.922164819550429229e+03 nan nan
1.922171406395734948e+03 nan nan
1.922177993125536659e+03 nan nan
1.922184579739829587e+03 nan nan
1.922191166238609185e+03 nan nan
1.922197752621871132e+03 nan nan
1.922204338889611563e+03 nan nan
1.922210925041825703e+03 nan nan
1.922217511078509006e+03 nan nan
1.922224096999656922e+03 nan nan
1.922230682805265360e+03 nan nan
1.922237268495329999e+03 nan nan
1.922243854069846293e+03 nan nan
1.922250439528809693e+03 nan nan
1.922257024872216107e+03 nan nan
1.922263610100060760e+03 nan nan
1.922270195212339559e+03 nan nan
1.922276780209047729e+03 nan nan
1.922283365090181178e+03 nan nan
1.922289949855735586e+03 nan nan
1.922296534505706404e+03 nan nan
1.922303119040089314e+03 nan nan
1.922309703458879540e+03 nan nan
1.922316287762072989e+03 nan nan
1.922322871949665341e+03 nan nan
1.922329456021652049e+03 nan nan
1.922336039978028566e+03 nan nan
1.922342623818790798e+03 nan nan
1.922349207543933744e+03 nan nan
1.922355791153453993e+03 nan nan
1.922362374647346314e+03 nan nan
1.922368958025606617e+03 nan nan
1.922375541288230579e+03 nan nan
1.922382124435213427e+03 nan nan
1.922388707466551068e+03 nan nan
1.922395290382239182e+03 nan nan
1.922401873182272993e+03 nan nan
