name,pRT_name,Hill_notation,mass,color,mathtext_name,C,O,H,N,S
CO,CO_12_HITEMP,C1O1,28.009999999999998,orange,CO,1,1,0,0,0
H2O,H2O_HITEMP,H2O1,18.014680000000002,dodgerblue,H$_2$O,0,1,2,0,0
N2,N2,N2,28.0134,turquoise,N$_2$,0,0,0,2,0
CH4,CH4,C1H4,16.04236,cyan,CH$_4$,1,0,4,0,0
NH3,NH3,H3N1,17.03022,limegreen,NH$_3$,0,0,3,1,0
CO2,CO2_HITRAN,C1O2,44.009,orangered,CO$_2$,1,2,0,0,0
H2,H2,H2,2.01568,skyblue,H$_2$,0,0,2,0,0
He,He,He,4.002602,gold,He,0,0,0,0,0
C2H2,C2H2,C2H2,26.03728,blueviolet,C$_2$H$_2$,2,0,2,0,0
H2S,H2S,H2S1,34.08068,hotpink,H$_2$S,0,0,2,0,1
CH3Cl,CH3Cl,C1H3Cl1,50.4875,olive,CH$_3$Cl,1,0,3,0,0
SO2,SO2,O2S1,64.0638,fuchsia,SO$_2$,0,2,0,0,1
OCS,OCS,C1O1S1,60.0751,chocolate,OCS,1,1,0,0,1
CS2,CS2_new,C1S2,76.1407,goldenrod,CS$_2$,1,0,0,0,2
DMS,DMS,C2H6S1,62.13404,forestgreen,DMS,2,0,6,0,1
C2H6,C2H6_new,C2H6,30.06904,cadetblue,C$_2$H$_6$,2,0,6,0,0
C2H4,C2H4_new,C2H4,28.05316,blue,C$_2$H$_4$,2,0,4,0,0
C2H6S2,C2H6S2_new,C2H6S2,93.99109,lightsteelblue,C$_2$H$_6$S$_2$,2,0,6,0,2
H2CO,H2CO_new,C1H2O1,30.02598,gray,H$_2$CO,1,1,2,0,0
SO,SO,O1S1,48.0644,yellow,SO,0,1,0,0,1
