name,temp,age,sma,C_ratio,C_ratio_err_lower,C_ratio_err_upper,CO_ratio,CO_ratio_err_lower,CO_ratio_err_upper,Metallicity,Metallicity_err_lower,Metallicity_err_upper,vsini,vsini_err_lower,vsini_err_upper,logg,logg_err_lower,logg_err_upper,flag
label,Temperature (K),Age (Myr),Separation (AU),$^{12}$CO/$^{13}$CO,,,C/O,,,[Fe/H],,,$v$ sin $i$,,,log $g$,,,flag
Sun,5772,4600,,91.4,1.3,1.3,0.59,0.08,0.08,0,0,0,,,,,,,s
ISM,,,,68,15,15,,,,,,,,,,,,,ism
J0255,1400,field,,184,40,61,0.68,0.01,0.01,0.03,0.03,0.03,41.05,0.19,0.19,5.27,0.04,0.04,i
J1200,2500,3.7,,114,33,69,0.62,0.02,0.02,0.0,0.25,0.25,5.3,0.2,0.2,3.3,0.2,0.2,i
J0856,2400,field,,79.0,20.0,14.0,0.58,0.01,0.01,0.26,0.15,0.15,4.5,0.1,0.2,3.9,0.1,0.1,i
TWA 28,2400,10,,81.0,28.0,19.0,0.61,0.02,0.02,0.24,0.2,0.2,11.6,0.1,0.1,3.5,0.1,0.1,i
YSES 1 A,,15,,66,5,5,,,,-0.07,0.01,0.01,11.1,,,4.43,0.02,0.02,h
YSES 1 b,1727,15,160,88.0,13.0,13.0,0.57,0.01,0.01,0.04,0.05,0.05,5.34,0.14,0.14,,,,c
YSES 1 c,1240,15,320,,,,0.36,0.15,0.15,-0.26,0.4,0.4,11.3,2.1,2.1,3.3,0.5,0.5,c
GQ Lup B,2400,16,105,53.0,6.7,5.9,0.5,0.01,0.01,0.50,0.17,0.16,5.56,0.02,0.02,3.83,0.18,0.17,c
GQ Lup A,4300,16,,51.0,8,10,,,,,,,5.37,0.05,0.05,3.7,0.2,0.2,h
J0835,1754,field,,89,11,11,0.65,0.02,0.02,0.54,0.04,0.04,15.42,0.12,0.14,5.4,0.03,0.03,i
J0500,1793,field,,117,17,20,0.71,0.01,0.01,0.28,0.04,0.04,5.05,0.16,0.21,5.55,0.03,0.03,i
J0501,1720,field,,155,53,56,0.68,0.04,0.04,0.44,0.06,0.06,6.9,0.24,0.25,4.51,0.07,0.07,i
AB Pic b,1700,13,273,102.0,8.0,8.0,0.59,0.01,0.01,0.60,0.08,0.08,3.7,0.3,0.3,4.4,0.25,0.25,c
2M0355,1590,125,,95.5,6.4,6.8,0.65,0.01,0.01,0.58,0.03,0.03,3.04,0.08,0.08,4.75,0.03,0.03,i
2M1425,1590,125,,109.6,9.6,10.6,0.66,0.01,0.01,0.40,0.01,0.01,31.57,0.23,0.19,4.98,0.01,0.01,i
Luhman 16 A,1200,500,,74,3,3,0.653,0.002,0.002,,,,14.93,0.12,0.14,4.95,0.05,0.06,i
Luhman 16 B,1200,500,,74,3,3,0.646,0.002,0.002,,,,24.48,0.03,0.04,4.89,0.05,0.04,i
ROXs 12 A,4000,6,,77,7,10,0.86,0.01,0.01,-0.06,0.03,0.02,8.27,0.02,0.02,4.45,0.04,0.04,h
ROXs 12 B,2400,6,210,55,7,10,0.54,0.01,0.01,-0.53,0.03,0.03,3.18,0.03,0.03,4.03,0.04,0.04,c
2M0434,,2,,81.28,13.67,21.05,0.61,0.01,0.01,1.26,0.16,0.22,15.77,0.10,0.13,4.57,0.07,0.06,i
2M0608,,field,,104.71,15.59,21.18,0.58,0.01,0.01,-0.49,0.04,0.03,16.58,0.07,0.08,3.59,0.06,0.04,i
2M1155,2200,field,,162.18,33.35,56.59,0.52,0.01,0.01,0.21,0.02,0.02,13.87,0.06,0.06,5.41,0.02,0.03,i
2M0523,2100,field,,154.88,33.35,56.59,0.55,0.01,0.01,0.04,0.02,0.02,17.50,0.19,0.21,5.26,0.03,0.03,i
SP0829,2300,field,,109.65,38.85,34.90,0.62,0.01,0.01,0.22,0.02,0.02,29.73,0.37,0.37,5.39,0.04,0.04,i
2M0953,,field,,151.36,33.87,72.52,0.60,0.01,0.01,0.25,0.04,0.03,82.25,0.30,0.34,4.88,0.06,0.05,i
